client_id,client_name,line_of_business,request_month,authorization_volume,auto_decisions,avg_decision_hours,sla_met_rate,avoidable_manual_reviews,admin_cost,requested_cost,auto_decision_rate,avoidable_manual_review_rate,claim_month,claim_volume,denied_claims,denied_amount,allowed_amount,paid_amount,denial_rate,estimated_auto_decision_admin_savings,client_value_opportunity
CHP_AZ,Desert Valley Health,Exchange,2026-01,452,205,15.521017699115044,0.8915929203539823,99,7025.25,480042.24,0.45353982300884954,0.21902654867256638,2026-01,662,107,103669.24,632843.98,406519.27,0.16163141993957703,4048.75,5583.67
CHP_AZ,Desert Valley Health,Exchange,2026-02,470,222,14.386170212765958,0.9170212765957447,111,7130.5,509121.76,0.4723404255319149,0.23617021276595745,2026-02,764,171,164885.15,723025.38,430501.59,0.2238219895287958,4384.5,7963.23
CHP_AZ,Desert Valley Health,Exchange,2026-03,517,223,16.258607350096714,0.874274661508704,128,8262.25,554583.7,0.43133462282398455,0.24758220502901354,2026-03,775,146,136497.91,727942.28,464697.93,0.18838709677419355,4404.25,7305.43
CHP_AZ,Desert Valley Health,Exchange,2026-04,477,219,16.28008385744235,0.8951781970649895,98,7361.25,518490.18,0.4591194968553459,0.20545073375262055,2026-04,724,167,164301.01,712667.82,414900.46,0.23066298342541436,4325.25,7686.04
CHP_AZ,Desert Valley Health,Exchange,2026-05,513,234,15.5411306042885,0.8908382066276803,127,7947.0,546286.42,0.45614035087719296,0.2475633528265107,2026-05,808,159,144857.51,746961.45,457867.71,0.1967821782178218,4621.5,7578.26
CHP_AZ,Desert Valley Health,Exchange,2026-06,483,221,15.252173913043478,0.8840579710144928,107,7468.75,530789.54,0.4575569358178054,0.22153209109730848,2026-06,755,148,147974.52,747282.42,474192.82,0.19602649006622516,4364.75,7292.36
CHP_AZ,Desert Valley Health,Exchange,2026-07,491,211,16.506313645621184,0.8818737270875764,113,7862.25,528279.3,0.42973523421588594,0.23014256619144602,2026-07,768,171,163563.0,755400.94,458176.08,0.22265625,4167.25,7956.46
CHP_FL,Atlantic Care Advantage,Commercial,2026-01,679,331,14.370692194403535,0.7938144329896907,130,10098.25,741484.15,0.48748159057437407,0.19145802650957292,2026-01,1067,218,206497.0,1052574.2,649178.56,0.204311152764761,6537.25,9794.9
CHP_FL,Atlantic Care Advantage,Commercial,2026-02,699,310,15.949356223175966,0.7739628040057225,175,11003.0,758065.16,0.4434907010014306,0.2503576537911302,2026-02,1048,212,211204.08,1031494.18,622175.14,0.20229007633587787,6122.5,10848.39
CHP_FL,Atlantic Care Advantage,Commercial,2026-03,716,346,14.95963687150838,0.7932960893854749,144,10708.5,791663.17,0.48324022346368717,0.2011173184357542,2026-03,1124,221,210842.34,1111782.46,683474.16,0.19661921708185054,6833.5,10223.48
